Name,AccountName,ExpectedRevenue,StageName,CloseDate
"Get Cloudy - 24 Holiday Sneakers","Get Cloudy","1000000","Closed Won","2019-03-20"
"Dickenson Mobile Generators","Dickenson plc","1500","Qualification","2015-05-01"
"United Oil Office Portable Generators","United Oil & Gas Corp.","112500","Negotiation/Review","2015-05-01"
"Express Logistics Standby Generator","Express Logistics and Transport","220000","Closed Won","2015-05-01"
"GenePoint Standby Generator","GenePoint","85000","Closed Won","2015-05-01"
"Grand Hotels Kitchen Generator","Grand Hotels & Resorts Ltd","9000","Id. Decision Makers","2015-05-01"
"United Oil Refinery Generators","United Oil & Gas Corp.","202500","Proposal/Price Quote","2015-05-01"
"United Oil SLA","United Oil & Gas Corp.","120000","Closed Won","2015-05-01"
"Grand Hotels Guest Portable Generators","Grand Hotels & Resorts Ltd","125000","Value Proposition","2015-05-01"
"Edge Emergency Generator","Edge Communications","75000","Closed Won","2015-05-01"
"University of AZ Portable Generators","University of Arizona","50000","Closed Won","2015-05-01"
"Pyramid Emergency Generators","Pyramid Construction Inc.","10000","Prospecting","2015-05-01"
"Express Logistics Portable Truck Generators","Express Logistics and Transport","40000","Value Proposition","2015-05-01"
"GenePoint Lab Generators","GenePoint","36000","Id. Decision Makers","2015-05-01"
"GenePoint SLA","GenePoint","30000","Closed Won","2015-05-01"
"United Oil Installations","United Oil & Gas Corp.","108000","Negotiation/Review","2015-05-01"
"Edge Installation","Edge Communications","50000","Closed Won","2015-05-01"
"Edge SLA","Edge Communications","60000","Closed Won","2015-05-01"
"United Oil Installations","United Oil & Gas Corp.","270000","Closed Won","2015-05-01"
"Grand Hotels Generator Installations","Grand Hotels & Resorts Ltd","350000","Closed Won","2015-05-01"
"United Oil Refinery Generators","United Oil & Gas Corp.","915000","Closed Won","2015-05-01"
"University of AZ Installations","University of Arizona","75000","Proposal/Price Quote","2015-05-01"
"Express Logistics SLA","Express Logistics and Transport","84000","Perception Analysis","2015-05-01"
"University of AZ SLA","University of Arizona","90000","Closed Won","2015-05-01"
"Burlington Textiles Weaving Plant Generator","Burlington Textiles Corp of America","235000","Closed Won","2015-05-01"
"United Oil Installations","United Oil & Gas Corp.","235000","Closed Won","2015-05-01"
"United Oil Emergency Generators","United Oil & Gas Corp.","440000","Closed Won","2015-05-01"
"Grand Hotels SLA","Grand Hotels & Resorts Ltd","90000","Closed Won","2015-05-01"
"United Oil Standby Generators","United Oil & Gas Corp.","120000","Closed Won","2015-05-01"
"Grand Hotels Emergency Generators","Grand Hotels & Resorts Ltd","210000","Closed Won","2015-05-01"
"United Oil Plant Standby Generators","United Oil & Gas Corp.","135000","Needs Analysis","2015-05-01"
"Edge Emergency Generator","Edge Communications","21000","Id. Decision Makers","2015-05-01"
